year,hires,terminations,net_change,net_change_precent
2001,4,1,3,75.00
2001,2,1,1,50.00
2001,3,1,2,66.67
2001,5,1,4,80.00
2001,4,1,3,75.00
2001,3,0,3,100.00
2001,1,0,1,100.00
2001,4,1,3,75.00
2001,4,1,3,75.00
2001,5,0,5,100.00
2001,4,0,4,100.00
2001,4,0,4,100.00
2001,4,0,4,100.00
2001,3,1,2,66.67
2001,4,1,3,75.00
2001,4,1,3,75.00
2001,1,0,1,100.00
2001,4,0,4,100.00
2001,4,0,4,100.00
2001,7,3,4,57.14
2001,2,0,2,100.00
2001,1,0,1,100.00
2001,3,1,2,66.67
2001,3,1,2,66.67
2001,4,0,4,100.00
2001,5,2,3,60.00
2001,3,0,3,100.00
2001,3,1,2,66.67
2001,4,1,3,75.00
2001,4,0,4,100.00
2001,6,1,5,83.33
2001,1,0,1,100.00
2001,4,0,4,100.00
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,3,1,2,66.67
2001,2,0,2,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,4,1,3,75.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,3,1,2,66.67
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,3,1,2,66.67
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,5,3,2,40.00
2001,2,0,2,100.00
2001,2,0,2,100.00
2001,4,1,3,75.00
2001,1,0,1,100.00
2001,4,0,4,100.00
2001,2,0,2,100.00
2001,6,2,4,66.67
2001,6,1,5,83.33
2001,6,2,4,66.67
2001,2,0,2,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,2,2,0,0.00
2001,3,1,2,66.67
2001,2,1,1,50.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,7,1,6,85.71
2001,3,1,2,66.67
2001,2,0,2,100.00
2001,6,1,5,83.33
2001,3,1,2,66.67
2001,1,1,0,0.00
2001,4,1,3,75.00
2001,3,1,2,66.67
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,3,0,3,100.00
2001,3,1,2,66.67
2001,4,1,3,75.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,3,0,3,100.00
2001,4,3,1,25.00
2001,1,0,1,100.00
2001,2,1,1,50.00
2001,3,0,3,100.00
2001,3,1,2,66.67
2001,1,0,1,100.00
2001,3,0,3,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,4,0,4,100.00
2001,2,0,2,100.00
2001,1,0,1,100.00
2001,3,1,2,66.67
2001,3,0,3,100.00
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,4,0,4,100.00
2001,3,1,2,66.67
2001,3,1,2,66.67
2001,4,0,4,100.00
2001,1,0,1,100.00
2001,3,0,3,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,2,0,2,100.00
2001,5,0,5,100.00
2001,4,0,4,100.00
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,3,1,2,66.67
2001,3,0,3,100.00
2001,3,1,2,66.67
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,3,3,0,0.00
2001,1,1,0,0.00
2001,2,1,1,50.00
2001,3,1,2,66.67
2001,4,2,2,50.00
2001,1,0,1,100.00
2001,3,0,3,100.00
2001,2,0,2,100.00
2001,7,1,6,85.71
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,3,1,2,66.67
2001,2,0,2,100.00
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,4,2,2,50.00
2001,2,0,2,100.00
2001,2,1,1,50.00
2001,4,2,2,50.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,1,0,1,100.00
2001,5,2,3,60.00
2001,3,2,1,33.33
2001,7,2,5,71.43
2001,3,0,3,100.00
2001,3,3,0,0.00
2001,4,2,2,50.00
2001,3,0,3,100.00
2001,1,1,0,0.00
2001,5,1,4,80.00
2001,3,1,2,66.67
2001,5,0,5,100.00
2001,3,1,2,66.67
2001,2,1,1,50.00
2001,2,0,2,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,2,2,0,0.00
2001,1,0,1,100.00
2001,3,1,2,66.67
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,3,1,2,66.67
2001,2,1,1,50.00
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,2,1,1,50.00
2001,2,1,1,50.00
2001,2,0,2,100.00
2001,2,0,2,100.00
2001,2,1,1,50.00
2001,1,0,1,100.00
2001,4,1,3,75.00
2001,3,2,1,33.33
2001,3,2,1,33.33
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,4,0,4,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,2,1,1,50.00
2001,3,0,3,100.00
2001,1,0,1,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,3,0,3,100.00
2001,1,0,1,100.00
2001,3,1,2,66.67
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,1,0,0.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,1,0,0.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,1,1,0,0.00
2001,2,0,2,100.00
2001,1,0,1,100.00
2002,1,1,0,0.00
2002,3,0,3,100.00
2002,4,2,2,50.00
2002,3,0,3,100.00
2002,1,0,1,100.00
2002,3,0,3,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,1,0,0.00
2002,3,1,2,66.67
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,2,1,1,50.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,2,0,2,100.00
2002,2,1,1,50.00
2002,4,0,4,100.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,2,0,2,100.00
2002,2,1,1,50.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,2,1,1,50.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,6,1,5,83.33
2002,3,0,3,100.00
2002,3,2,1,33.33
2002,6,1,5,83.33
2002,3,0,3,100.00
2002,4,0,4,100.00
2002,3,1,2,66.67
2002,3,2,1,33.33
2002,3,0,3,100.00
2002,2,1,1,50.00
2002,2,0,2,100.00
2002,5,0,5,100.00
2002,4,0,4,100.00
2002,3,0,3,100.00
2002,4,1,3,75.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,4,0,4,100.00
2002,3,0,3,100.00
2002,3,1,2,66.67
2002,5,1,4,80.00
2002,4,0,4,100.00
2002,5,1,4,80.00
2002,4,1,3,75.00
2002,3,1,2,66.67
2002,3,0,3,100.00
2002,4,0,4,100.00
2002,5,1,4,80.00
2002,1,0,1,100.00
2002,8,1,7,87.50
2002,3,1,2,66.67
2002,3,0,3,100.00
2002,6,0,6,100.00
2002,5,1,4,80.00
2002,4,1,3,75.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,3,0,3,100.00
2002,5,1,4,80.00
2002,4,0,4,100.00
2002,3,0,3,100.00
2002,6,2,4,66.67
2002,4,0,4,100.00
2002,3,1,2,66.67
2002,1,0,1,100.00
2002,3,0,3,100.00
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,4,2,2,50.00
2002,1,0,1,100.00
2002,5,1,4,80.00
2002,5,0,5,100.00
2002,1,0,1,100.00
2002,3,1,2,66.67
2002,1,0,1,100.00
2002,3,1,2,66.67
2002,6,1,5,83.33
2002,2,0,2,100.00
2002,5,0,5,100.00
2002,3,0,3,100.00
2002,3,1,2,66.67
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,7,3,4,57.14
2002,1,0,1,100.00
2002,2,1,1,50.00
2002,3,0,3,100.00
2002,5,1,4,80.00
2002,4,0,4,100.00
2002,2,0,2,100.00
2002,5,0,5,100.00
2002,2,0,2,100.00
2002,4,0,4,100.00
2002,4,1,3,75.00
2002,3,1,2,66.67
2002,4,0,4,100.00
2002,5,2,3,60.00
2002,3,0,3,100.00
2002,5,2,3,60.00
2002,4,1,3,75.00
2002,2,0,2,100.00
2002,5,0,5,100.00
2002,4,0,4,100.00
2002,5,2,3,60.00
2002,5,1,4,80.00
2002,1,1,0,0.00
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,3,1,2,66.67
2002,3,0,3,100.00
2002,3,1,2,66.67
2002,6,1,5,83.33
2002,6,4,2,33.33
2002,6,1,5,83.33
2002,2,0,2,100.00
2002,3,0,3,100.00
2002,3,0,3,100.00
2002,6,0,6,100.00
2002,2,1,1,50.00
2002,7,0,7,100.00
2002,4,1,3,75.00
2002,7,1,6,85.71
2002,5,1,4,80.00
2002,3,1,2,66.67
2002,5,1,4,80.00
2002,1,0,1,100.00
2002,3,0,3,100.00
2002,4,2,2,50.00
2002,3,1,2,66.67
2002,3,1,2,66.67
2002,3,2,1,33.33
2002,2,2,0,0.00
2002,4,2,2,50.00
2002,4,0,4,100.00
2002,4,0,4,100.00
2002,1,1,0,0.00
2002,1,0,1,100.00
2002,4,1,3,75.00
2002,4,1,3,75.00
2002,5,0,5,100.00
2002,5,0,5,100.00
2002,4,1,3,75.00
2002,5,2,3,60.00
2002,5,0,5,100.00
2002,4,2,2,50.00
2002,2,0,2,100.00
2002,5,1,4,80.00
2002,4,1,3,75.00
2002,3,0,3,100.00
2002,2,1,1,50.00
2002,5,2,3,60.00
2002,4,0,4,100.00
2002,4,2,2,50.00
2002,5,1,4,80.00
2002,4,0,4,100.00
2002,5,0,5,100.00
2002,4,1,3,75.00
2002,3,0,3,100.00
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,5,0,5,100.00
2002,4,1,3,75.00
2002,4,2,2,50.00
2002,4,2,2,50.00
2002,3,1,2,66.67
2002,1,0,1,100.00
2002,3,0,3,100.00
2002,5,0,5,100.00
2002,7,1,6,85.71
2002,3,1,2,66.67
2002,2,0,2,100.00
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,5,3,2,40.00
2002,2,0,2,100.00
2002,4,0,4,100.00
2002,1,0,1,100.00
2002,5,1,4,80.00
2002,5,0,5,100.00
2002,8,1,7,87.50
2002,5,0,5,100.00
2002,7,2,5,71.43
2002,1,0,1,100.00
2002,4,2,2,50.00
2002,4,0,4,100.00
2002,2,0,2,100.00
2002,3,1,2,66.67
2002,2,0,2,100.00
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,3,1,2,66.67
2002,2,0,2,100.00
2002,4,0,4,100.00
2002,5,1,4,80.00
2002,3,1,2,66.67
2002,4,0,4,100.00
2002,4,1,3,75.00
2002,3,0,3,100.00
2002,4,1,3,75.00
2002,4,0,4,100.00
2002,2,0,2,100.00
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,7,1,6,85.71
2002,1,0,1,100.00
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,2,1,1,50.00
2002,4,1,3,75.00
2002,3,0,3,100.00
2002,5,0,5,100.00
2002,2,0,2,100.00
2002,6,0,6,100.00
2002,1,0,1,100.00
2002,3,0,3,100.00
2002,4,0,4,100.00
2002,3,0,3,100.00
2002,3,1,2,66.67
2002,4,0,4,100.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,3,0,3,100.00
2002,3,0,3,100.00
2002,3,1,2,66.67
2002,5,1,4,80.00
2002,3,0,3,100.00
2002,3,1,2,66.67
2002,3,1,2,66.67
2002,1,0,1,100.00
2002,2,2,0,0.00
2002,2,0,2,100.00
2002,2,1,1,50.00
2002,3,1,2,66.67
2002,1,1,0,0.00
2002,3,0,3,100.00
2002,1,0,1,100.00
2002,2,0,2,100.00
2002,3,0,3,100.00
2002,3,1,2,66.67
2002,2,0,2,100.00
2002,1,0,1,100.00
2002,2,0,2,100.00
2002,1,1,0,0.00
2002,5,1,4,80.00
2002,2,0,2,100.00
2002,3,1,2,66.67
2002,3,0,3,100.00
2002,3,0,3,100.00
2002,1,0,1,100.00
2002,4,0,4,100.00
2002,4,0,4,100.00
2002,2,1,1,50.00
2002,4,0,4,100.00
2002,1,0,1,100.00
2002,1,1,0,0.00
2002,3,1,2,66.67
2002,4,0,4,100.00
2002,4,2,2,50.00
2002,5,0,5,100.00
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,3,1,2,66.67
2002,5,0,5,100.00
2002,3,2,1,33.33
2002,2,0,2,100.00
2002,2,0,2,100.00
2002,3,0,3,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,1,1,0,0.00
2002,3,2,1,33.33
2002,4,1,3,75.00
2002,3,1,2,66.67
2002,4,0,4,100.00
2002,1,0,1,100.00
2002,6,1,5,83.33
2002,2,1,1,50.00
2002,3,1,2,66.67
2002,3,0,3,100.00
2002,3,0,3,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,3,2,1,33.33
2002,3,1,2,66.67
2002,1,0,1,100.00
2002,3,1,2,66.67
2002,5,0,5,100.00
2002,3,1,2,66.67
2002,3,0,3,100.00
2002,2,0,2,100.00
2002,3,1,2,66.67
2002,4,1,3,75.00
2002,2,0,2,100.00
2002,4,0,4,100.00
2002,1,0,1,100.00
2002,1,0,1,100.00
2002,3,0,3,100.00
2002,2,1,1,50.00
2002,4,0,4,100.00
2002,4,0,4,100.00
2002,5,2,3,60.00
2003,6,2,4,66.67
2003,7,2,5,71.43
2003,3,0,3,100.00
2003,3,2,1,33.33
2003,2,0,2,100.00
2003,6,1,5,83.33
2003,3,2,1,33.33
2003,3,2,1,33.33
2003,4,0,4,100.00
2003,5,0,5,100.00
2003,2,0,2,100.00
2003,3,2,1,33.33
2003,6,0,6,100.00
2003,1,0,1,100.00
2003,5,0,5,100.00
2003,10,2,8,80.00
2003,5,1,4,80.00
2003,5,0,5,100.00
2003,3,1,2,66.67
2003,6,0,6,100.00
2003,3,0,3,100.00
2003,9,3,6,66.67
2003,4,1,3,75.00
2003,2,1,1,50.00
2003,3,1,2,66.67
2003,7,2,5,71.43
2003,5,2,3,60.00
2003,4,0,4,100.00
2003,3,0,3,100.00
2003,2,1,1,50.00
2003,5,2,3,60.00
2003,4,0,4,100.00
2003,4,1,3,75.00
2003,6,1,5,83.33
2003,6,2,4,66.67
2003,2,0,2,100.00
2003,4,0,4,100.00
2003,7,2,5,71.43
2003,6,1,5,83.33
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,3,2,1,33.33
2003,3,1,2,66.67
2003,7,2,5,71.43
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,7,2,5,71.43
2003,4,1,3,75.00
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,4,3,1,25.00
2003,4,1,3,75.00
2003,4,0,4,100.00
2003,3,1,2,66.67
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,5,0,5,100.00
2003,3,0,3,100.00
2003,3,0,3,100.00
2003,8,1,7,87.50
2003,4,2,2,50.00
2003,6,2,4,66.67
2003,6,0,6,100.00
2003,5,2,3,60.00
2003,6,0,6,100.00
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,3,0,3,100.00
2003,4,0,4,100.00
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,1,0,1,100.00
2003,3,1,2,66.67
2003,3,0,3,100.00
2003,4,2,2,50.00
2003,10,5,5,50.00
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,3,1,2,66.67
2003,4,0,4,100.00
2003,6,1,5,83.33
2003,2,0,2,100.00
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,4,0,4,100.00
2003,4,0,4,100.00
2003,2,0,2,100.00
2003,3,1,2,66.67
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,5,0,5,100.00
2003,5,4,1,20.00
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,7,2,5,71.43
2003,3,1,2,66.67
2003,3,1,2,66.67
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,4,0,4,100.00
2003,1,0,1,100.00
2003,2,0,2,100.00
2003,6,1,5,83.33
2003,4,0,4,100.00
2003,5,2,3,60.00
2003,1,1,0,0.00
2003,3,2,1,33.33
2003,3,1,2,66.67
2003,5,1,4,80.00
2003,3,2,1,33.33
2003,1,0,1,100.00
2003,4,0,4,100.00
2003,3,0,3,100.00
2003,3,2,1,33.33
2003,2,0,2,100.00
2003,4,1,3,75.00
2003,1,0,1,100.00
2003,2,1,1,50.00
2003,2,0,2,100.00
2003,3,2,1,33.33
2003,4,2,2,50.00
2003,1,0,1,100.00
2003,3,1,2,66.67
2003,2,0,2,100.00
2003,3,1,2,66.67
2003,6,2,4,66.67
2003,5,2,3,60.00
2003,6,2,4,66.67
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,1,0,1,100.00
2003,3,1,2,66.67
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,4,1,3,75.00
2003,4,1,3,75.00
2003,3,0,3,100.00
2003,4,1,3,75.00
2003,4,0,4,100.00
2003,4,0,4,100.00
2003,6,2,4,66.67
2003,5,0,5,100.00
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,4,0,4,100.00
2003,2,0,2,100.00
2003,4,1,3,75.00
2003,4,1,3,75.00
2003,4,1,3,75.00
2003,2,0,2,100.00
2003,2,1,1,50.00
2003,2,0,2,100.00
2003,5,0,5,100.00
2003,4,1,3,75.00
2003,4,1,3,75.00
2003,4,2,2,50.00
2003,3,1,2,66.67
2003,3,1,2,66.67
2003,3,0,3,100.00
2003,3,0,3,100.00
2003,1,0,1,100.00
2003,4,1,3,75.00
2003,3,1,2,66.67
2003,4,2,2,50.00
2003,6,2,4,66.67
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,5,0,5,100.00
2003,1,0,1,100.00
2003,3,0,3,100.00
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,4,0,4,100.00
2003,3,0,3,100.00
2003,1,0,1,100.00
2003,7,0,7,100.00
2003,4,0,4,100.00
2003,4,1,3,75.00
2003,4,0,4,100.00
2003,4,0,4,100.00
2003,2,0,2,100.00
2003,3,1,2,66.67
2003,2,0,2,100.00
2003,1,1,0,0.00
2003,2,1,1,50.00
2003,1,0,1,100.00
2003,6,0,6,100.00
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,6,1,5,83.33
2003,4,0,4,100.00
2003,2,1,1,50.00
2003,7,1,6,85.71
2003,4,0,4,100.00
2003,1,0,1,100.00
2003,3,0,3,100.00
2003,4,1,3,75.00
2003,6,2,4,66.67
2003,6,0,6,100.00
2003,5,0,5,100.00
2003,2,0,2,100.00
2003,5,1,4,80.00
2003,4,1,3,75.00
2003,2,1,1,50.00
2003,1,0,1,100.00
2003,4,1,3,75.00
2003,1,0,1,100.00
2003,3,0,3,100.00
2003,2,1,1,50.00
2003,3,1,2,66.67
2003,3,1,2,66.67
2003,5,0,5,100.00
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,6,0,6,100.00
2003,5,1,4,80.00
2003,2,0,2,100.00
2003,2,0,2,100.00
2003,2,0,2,100.00
2003,3,1,2,66.67
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,1,0,1,100.00
2003,2,1,1,50.00
2003,2,0,2,100.00
2003,3,0,3,100.00
2003,2,1,1,50.00
2003,5,0,5,100.00
2003,1,0,1,100.00
2003,4,0,4,100.00
2003,3,1,2,66.67
2003,1,0,1,100.00
2003,3,0,3,100.00
2003,3,0,3,100.00
2003,2,1,1,50.00
2003,1,1,0,0.00
2003,5,0,5,100.00
2003,6,2,4,66.67
2003,3,1,2,66.67
2003,5,1,4,80.00
2003,1,0,1,100.00
2003,5,1,4,80.00
2003,4,2,2,50.00
2003,4,0,4,100.00
2003,3,0,3,100.00
2003,2,1,1,50.00
2003,3,1,2,66.67
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,4,3,1,25.00
2003,2,0,2,100.00
2003,4,1,3,75.00
2003,2,1,1,50.00
2003,3,1,2,66.67
2003,2,1,1,50.00
2003,1,1,0,0.00
2003,3,1,2,66.67
2003,3,0,3,100.00
2003,3,1,2,66.67
2003,3,1,2,66.67
2003,8,3,5,62.50
2003,1,0,1,100.00
2003,3,0,3,100.00
2003,5,1,4,80.00
2003,2,0,2,100.00
2003,3,1,2,66.67
2003,6,0,6,100.00
2003,2,1,1,50.00
2003,2,0,2,100.00
2003,2,1,1,50.00
2003,2,0,2,100.00
2003,2,1,1,50.00
2003,4,1,3,75.00
2003,1,0,1,100.00
2003,3,0,3,100.00
2003,1,0,1,100.00
2003,1,0,1,100.00
2003,3,2,1,33.33
2003,1,0,1,100.00
2003,2,0,2,100.00
2003,2,0,2,100.00
2003,4,1,3,75.00
2003,3,1,2,66.67
2003,3,1,2,66.67
2003,2,1,1,50.00
2003,1,0,1,100.00
2003,1,0,1,100.00
2003,1,1,0,0.00
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,2,0,2,100.00
2003,1,1,0,0.00
2003,3,1,2,66.67
2003,4,1,3,75.00
2003,3,0,3,100.00
2003,2,1,1,50.00
2003,2,1,1,50.00
2003,1,0,1,100.00
2003,4,0,4,100.00
2003,3,0,3,100.00
2003,4,1,3,75.00
2003,3,0,3,100.00
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,4,0,4,100.00
2003,2,0,2,100.00
2003,3,1,2,66.67
2003,1,0,1,100.00
2003,2,0,2,100.00
2003,2,1,1,50.00
2003,2,1,1,50.00
2003,3,1,2,66.67
2003,5,1,4,80.00
2003,2,0,2,100.00
2003,1,0,1,100.00
2003,3,0,3,100.00
